2024.01.01 22:00:00,1.10427,1.10447,1.10420,1.10438,1,0,10
2024.01.01 23:00:00,1.10446,1.10446,1.10356,1.10365,1,0,10
2024.01.02 00:00:00,1.10366,1.10383,1.10342,1.10381,1,0,10
2024.01.02 01:00:00,1.10380,1.10432,1.10342,1.10348,1,0,10
2024.01.02 02:00:00,1.10347,1.10359,1.10182,1.10187,1,0,10
2024.01.02 03:00:00,1.10187,1.10247,1.10176,1.10245,1,0,10
2024.01.02 04:00:00,1.10245,1.10250,1.10165,1.10208,1,0,10
2024.01.02 05:00:00,1.10208,1.10335,1.10208,1.10333,1,0,10
2024.01.02 06:00:00,1.10334,1.10351,1.10268,1.10286,1,0,10
2024.01.02 07:00:00,1.10286,1.10380,1.10151,1.10153,1,0,10
2024.01.02 08:00:00,1.10156,1.10387,1.10156,1.10295,1,0,10
2024.01.02 09:00:00,1.10296,1.10378,1.10107,1.10150,1,0,10
2024.01.02 10:00:00,1.10149,1.10170,1.09970,1.10075,1,0,10
2024.01.02 11:00:00,1.10075,1.10077,1.09665,1.09690,1,0,10
2024.01.02 12:00:00,1.09691,1.09717,1.09537,1.09537,1,0,10
2024.01.02 13:00:00,1.09538,1.09650,1.09494,1.09527,1,0,10
2024.01.02 14:00:00,1.09526,1.09639,1.09448,1.09631,1,0,10
2024.01.02 15:00:00,1.09631,1.09682,1.09410,1.09435,1,0,10
2024.01.02 16:00:00,1.09436,1.09616,1.09408,1.09564,1,0,10
2024.01.02 17:00:00,1.09565,1.09575,1.09459,1.09504,1,0,10
2024.01.02 18:00:00,1.09504,1.09558,1.09462,1.09467,1,0,10
2024.01.02 19:00:00,1.09466,1.09501,1.09429,1.09465,1,0,10
2024.01.02 20:00:00,1.09465,1.09511,1.09421,1.09431,1,0,10
2024.01.02 21:00:00,1.09430,1.09432,1.09383,1.09396,1,0,10
2024.01.02 22:00:00,1.09396,1.09438,1.09375,1.09404,1,0,10
2024.01.02 23:00:00,1.09404,1.09436,1.09404,1.09416,1,0,10
2024.01.03 00:00:00,1.09416,1.09505,1.09412,1.09494,1,0,10
2024.01.03 01:00:00,1.09493,1.09546,1.09448,1.09513,1,0,10
2024.01.03 02:00:00,1.09513,1.09530,1.09486,1.09522,1,0,10
2024.01.03 03:00:00,1.09522,1.09622,1.09488,1.09608,1,0,10
2024.01.03 04:00:00,1.09607,1.09624,1.09588,1.09622,1,0,10
2024.01.03 05:00:00,1.09623,1.09627,1.09512,1.09512,1,0,10
2024.01.03 06:00:00,1.09512,1.09607,1.09511,1.09586,1,0,10
2024.01.03 07:00:00,1.09585,1.09627,1.09514,1.09603,1,0,10
2024.01.03 08:00:00,1.09602,1.09654,1.09502,1.09526,1,0,10
2024.01.03 09:00:00,1.09526,1.09562,1.09348,1.09362,1,0,10
2024.01.03 10:00:00,1.09362,1.09390,1.09262,1.09279,1,0,10
2024.01.03 11:00:00,1.09280,1.09297,1.09154,1.09195,1,0,10
2024.01.03 12:00:00,1.09195,1.09320,1.09145,1.09168,1,0,10
2024.01.03 13:00:00,1.09168,1.09300,1.09101,1.09215,1,0,10
2024.01.03 14:00:00,1.09216,1.09265,1.09099,1.09183,1,0,10
2024.01.03 15:00:00,1.09179,1.09385,1.08980,1.09044,1,0,10
2024.01.03 16:00:00,1.09045,1.09182,1.09026,1.09081,1,0,10
2024.01.03 17:00:00,1.09081,1.09101,1.09032,1.09066,1,0,10
2024.01.03 18:00:00,1.09066,1.09148,1.09026,1.09054,1,0,10
2024.01.03 19:00:00,1.09055,1.09257,1.08929,1.09176,1,0,10
2024.01.03 20:00:00,1.09177,1.09232,1.09150,1.09212,1,0,10
2024.01.03 21:00:00,1.09211,1.09236,1.09187,1.09206,1,0,10
2024.01.03 22:00:00,1.09206,1.09225,1.09167,1.09206,1,0,10
2024.01.03 23:00:00,1.09207,1.09275,1.09207,1.09258,1,0,10
2024.01.04 00:00:00,1.09259,1.09266,1.09194,1.09225,1,0,10
2024.01.04 01:00:00,1.09224,1.09241,1.09163,1.09178,1,0,10
2024.01.04 02:00:00,1.09177,1.09199,1.09160,1.09193,1,0,10
2024.01.04 03:00:00,1.09193,1.09306,1.09193,1.09261,1,0,10
2024.01.04 04:00:00,1.09261,1.09285,1.09247,1.09258,1,0,10
2024.01.04 05:00:00,1.09259,1.09268,1.09219,1.09266,1,0,10
2024.01.04 06:00:00,1.09265,1.09346,1.09208,1.09324,1,0,10
2024.01.04 07:00:00,1.09323,1.09436,1.09295,1.09375,1,0,10
